#,Job Title,Job Link,Source
1,Software Engineer 2 (Backend),https://builtinbengaluru.in/job/software-engineer-2-backend/8651766,Built In Bengaluru
2,Applied AI Engineer (Agentic Workflows) - India,https://builtinbengaluru.in/job/applied-ai-engineer-agentic-workflows-india/6248258,Built In Bengaluru
3,Legal Executive,https://builtinbengaluru.in/job/legal-executive/8673055,Built In Bengaluru
4,Senior Lead Business Integration Analyst -R2R,https://builtinbengaluru.in/job/senior-lead-business-integration-analyst-r2r/8277896,Built In Bengaluru
5,Principle Specialist-  Business Analysis - Production Execution,https://builtinbengaluru.in/job/principle-specialist-business-analysis-production-execution/8411513,Built In Bengaluru
6,ServiceNow Operational Analyst,https://builtinbengaluru.in/job/servicenow-operational-analyst/8436298,Built In Bengaluru
7,QA Engineer (Manual Testing ),https://builtinbengaluru.in/job/qa-engineer/8056659,Built In Bengaluru
8,Technical Support Lead,https://builtinbengaluru.in/job/customer-support-lead/8255066,Built In Bengaluru
9,"Quantitative Developer (Low-Latency, C++)",https://builtinbengaluru.in/job/quantitative-developer-low-latency-c/8671913,Built In Bengaluru
10,"Software Developer, Algorithmic Trading (Low-Latency, C++)-",https://builtinbengaluru.in/job/software-developer-algorithmic-trading-low-latency-c/8671884,Built In Bengaluru
11,Product Analyst,https://builtinbengaluru.in/job/product-analyst/6883752,Built In Bengaluru
12,Customer Experience Specialist,https://builtinbengaluru.in/job/customer-experience-specialist/8671046,Built In Bengaluru
13,Staff AI Engineer,https://builtinbengaluru.in/job/staff-ai-engineer/8202263,Built In Bengaluru
14,QA Lead,https://builtinbengaluru.in/job/qa-lead/7782260,Built In Bengaluru
15,Staff Data Engineer - India,https://builtinbengaluru.in/job/senior-data-engineer-india/7076041,Built In Bengaluru
16,"Engineering Lead, AI Application Engineering",https://builtinbengaluru.in/job/genai-field-architect-customer-value-engineering/6401265,Built In Bengaluru
17,AI Integrations Specialist,https://builtinbengaluru.in/job/ai-integrations-specialist/7782263,Built In Bengaluru
18,Senior AI Applications Engineer,https://builtinbengaluru.in/job/senior-ai-applications-engineer/4802406,Built In Bengaluru
19,Senior Product Designer,https://builtinbengaluru.in/job/senior-product-designer/7496891,Built In Bengaluru
20,Senior Solution Data Architect,https://builtinbengaluru.in/job/senior-solution-data-architect/7287923,Built In Bengaluru
21,Oracle HCM Fusion,https://builtinbengaluru.in/job/oracle-hcm-fusion/7287880,Built In Bengaluru
22,Data Engineer,https://builtinbengaluru.in/job/data-engineer/7287962,Built In Bengaluru
23,ML Intern,https://builtinbengaluru.in/job/ml-intern/7785407,Built In Bengaluru
24,Senior Embedded Software Developer(RTOS),https://builtinbengaluru.in/job/senior-embedded-software-developerrtos/4201416,Built In Bengaluru
25,Sr Dotnet Developer,https://builtinbengaluru.in/job/sr-dotnet-developer/8037746,Built In Bengaluru
26,React js Lead,https://builtinbengaluru.in/job/react-js-lead/8037742,Built In Bengaluru
27,Product Analyst,https://builtinbengaluru.in/job/product-analyst/8037737,Built In Bengaluru
28,Design Verification Director,https://builtinbengaluru.in/job/design-verification-director/8668490,Built In Bengaluru
29,Principal Physical Design Engineer,https://builtinbengaluru.in/job/principal-physical-design-engineer/8666160,Built In Bengaluru
30,Senior Full-Stack Engineer (Media & ML Automation),https://builtinbengaluru.in/job/senior-full-stack-engineer-media-ml-automation/8552820,Built In Bengaluru
31,Co-Manage Specialist,https://builtinbengaluru.in/job/co-manage-specialist/8663069,Built In Bengaluru
32,AI Implementation Intern,https://builtinbengaluru.in/job/ai-engineering-intern/8663068,Built In Bengaluru
33,Business Development Executive - Inside Sales,https://builtinbengaluru.in/job/business-development-executive-inside-sales/8662685,Built In Bengaluru
34,Machine Learning Engineer,https://builtinbengaluru.in/job/machine-learning-engineer/8661728,Built In Bengaluru
35,Account Executive,https://builtinbengaluru.in/job/account-executive/8661376,Built In Bengaluru
36,3D Artist,https://builtinbengaluru.in/job/3d-artist/8660721,Built In Bengaluru
37,Business Operations Intern – Finmo,https://builtinbengaluru.in/job/business-operations-intern-finmo/8660335,Built In Bengaluru
38,Oracle ERP Engineer,https://builtinbengaluru.in/job/oracle-erp-engineer/8660201,Built In Bengaluru
39,Software Engineer III -Backend,https://builtinbengaluru.in/job/software-engineer-iii-backend/8660177,Built In Bengaluru
40,IT Admin,https://builtinbengaluru.in/job/it-admin/8659978,Built In Bengaluru
41,Senior UX Designer,https://builtinbengaluru.in/job/senior-ux-designer/8659952,Built In Bengaluru
42,Python Developer,https://builtinbengaluru.in/job/python-developer/8659942,Built In Bengaluru
43,Revenue Operations & CSM Specialist (Mid-level | Global Remote | SaaS),https://builtinbengaluru.in/job/revenue-operations-csm-specialist-mid-level-global-remote-saas/8174288,Built In Bengaluru
44,Senior Staff ML Researcher - LLM Algorithmic Optimization,https://builtinbengaluru.in/job/senior-staff-ml-researcher-llm-algorithmic-optimization/7777632,Built In Bengaluru
45,AI Research Lead,https://builtinbengaluru.in/job/ai-research-lead/8194466,Built In Bengaluru
46,Software Engineer,https://builtinbengaluru.in/job/software-engineer/8025976,Built In Bengaluru
47,Senior Engineer - Search,https://builtinbengaluru.in/job/senior-engineer-search/8176460,Built In Bengaluru
48,AI Engineer (Full Stack),https://builtinbengaluru.in/job/ai-engineer-full-stack/7780037,Built In Bengaluru
49,Backend Platform Engineer (BLR),https://builtinbengaluru.in/job/backend-platform-engineer-blr/7772019,Built In Bengaluru
50,Portfolio Data Analyst,https://builtinbengaluru.in/job/portfolio-data-analyst/7339461,Built In Bengaluru
51,Senior Software Engineer,https://builtinbengaluru.in/job/senior-software-engineer/8026930,Built In Bengaluru
52,Principal Software Engineer,https://builtinbengaluru.in/job/principal-software-engineer/8174646,Built In Bengaluru
53,Senior Staff DFT MBIST Engineer,https://builtinbengaluru.in/job/senior-staff-dft-mbist-engineer/8178870,Built In Bengaluru
54,"Governance, Risk, and Compliance Lead (India)",https://builtinbengaluru.in/job/governance-risk-and-compliance-lead-india/7770132,Built In Bengaluru
55,Graphic Designer (Brand & Marketing),https://builtinbengaluru.in/job/graphic-designer-brand-marketing/8178199,Built In Bengaluru
56,DevOps Engineer (GCP),https://builtinbengaluru.in/job/devops-engineer/8187666,Built In Bengaluru
57,DevOps Engineer,https://builtinbengaluru.in/job/devops-engineer/7060070,Built In Bengaluru
58,Senior Product Support Engineer (L3),https://builtinbengaluru.in/job/rapid-response-software-engineer/8035576,Built In Bengaluru
59,"Machine Learning Engineer, Platform",https://builtinbengaluru.in/job/machine-learning-engineer-platform/8011988,Built In Bengaluru
60,Senior Engineer Unit test,https://builtinbengaluru.in/job/senior-engineer-unit-test/8172478,Built In Bengaluru
61,Customer Success Manager - B2B SaaS(US),https://builtinbengaluru.in/job/customer-success-manager-b2b-saas-us/8173586,Built In Bengaluru
62,Software Engineer 2 (Backend),https://builtinhyderabad.in/job/software-engineer-2-backend/8651766,Built In Hyderabad
63,Applied AI Engineer (Agentic Workflows) - India,https://builtinhyderabad.in/job/applied-ai-engineer-agentic-workflows-india/6248258,Built In Hyderabad
64,Tax Services Senior Associate -Partnership,https://builtinhyderabad.in/job/tax-services-senior-associate-partnership/8085901,Built In Hyderabad
65,System Administrator,https://builtinhyderabad.in/job/system-administrator/8186914,Built In Hyderabad
66,Sales Engineer,https://builtinhyderabad.in/job/sales-engineer/8037736,Built In Hyderabad
67,Senior Software Engineer,https://builtinhyderabad.in/job/senior-software-engineer/8185759,Built In Hyderabad
68,Tech Operations Lead- Power BI,https://builtinhyderabad.in/job/tech-operations-lead-power-bi/8343471,Built In Hyderabad
69,Senior Technical Operations Analyst,https://builtinhyderabad.in/job/senior-technical-operations-analyst/8343515,Built In Hyderabad
70,ServiceNow ITSM Developer,https://builtinhyderabad.in/job/servicenow-itsm-developer/8659659,Built In Hyderabad
71,TOGAF Freelance Instrutor,https://builtinhyderabad.in/job/togaf-freelance-instrutor/8174076,Built In Hyderabad
72,Business Development - US Staffing,https://builtinhyderabad.in/job/business-development-us-staffing/2546476,Built In Hyderabad
73,Graphic Designer,https://builtinhyderabad.in/job/graphic-designer/8182798,Built In Hyderabad
74,.Net Full Stack Developer,https://builtinhyderabad.in/job/net-full-stack-developer/6470660,Built In Hyderabad
75,Software Engineer (Node JS Developer),https://builtinhyderabad.in/job/software-engineer-node-js-developer/6476368,Built In Hyderabad
76,"Experienced ReactJS,  React Native Developer Openings in Hyderabad",https://builtinhyderabad.in/job/experienced-reactjs-react-native-developer-openings-hyderabad/2645996,Built In Hyderabad
77,Microsoft Dynamics D365 Finance & Operations Consultants,https://builtinhyderabad.in/job/microsoft-dynamics-d365-finance-operations-consultants/2540901,Built In Hyderabad
78,26-3090: QA Test Engineer - Hyderabad/Vijayawada- India,https://builtinhyderabad.in/job/26-3090-qa-test-engineer-hyderabad-vijayawada-india/8651377,Built In Hyderabad
79,Sr. Oracle Fusion SCM Consultant,https://builtinhyderabad.in/job/sr-oracle-fusion-scm-consultant/8648834,Built In Hyderabad
80,Senior QA Engineer,https://builtinhyderabad.in/job/senior-qa-engineer/8645030,Built In Hyderabad
81,Senior Data Engineer,https://builtinhyderabad.in/job/senior-data-engineer/8425305,Built In Hyderabad
82,Human Resource Generalist,https://builtinhyderabad.in/job/human-resource-generalist/2647388,Built In Hyderabad
83,Finance Controller,https://builtinhyderabad.in/job/finance-controller/8633409,Built In Hyderabad
84,Technical Architect,https://builtinhyderabad.in/job/technical-architect/7770435,Built In Hyderabad
85,"Full Stack Developer (Offshore, Mid-Level)",https://builtinhyderabad.in/job/full-stack-developer-offshore-mid-level/7749547,Built In Hyderabad
86,Job ID 178 - Software Consultant (Full Stack Developer),https://builtinhyderabad.in/job/job-id-178-software-consultant-full-stack-developer/7998254,Built In Hyderabad
87,SAP TAO Automation Test Engineer,https://builtinhyderabad.in/job/sap-tao-automation-test-engineer/6448974,Built In Hyderabad
88,Python Developer (Alerting & Monitoring),https://builtinhyderabad.in/job/python-developer-implementing-alerting-monitoring-capabilities/7955958,Built In Hyderabad
89,Software Engineer,https://builtinhyderabad.in/job/software-engineer/8137184,Built In Hyderabad
90,System Architect,https://builtinhyderabad.in/job/system-architect/8396171,Built In Hyderabad
91,Project Manager (Technical Programmes),https://builtinhyderabad.in/job/project-manager-technical-programmes/8134609,Built In Hyderabad
92,Java Architect,https://builtinhyderabad.in/job/java-architect/8160035,Built In Hyderabad
93,Java Architect at 100% Remote,https://builtinhyderabad.in/job/java-architect-100-remote/1670159,Built In Hyderabad
94,"Software Engineer, macOS Core Product - Hyderabad, Telangana, India",https://builtinhyderabad.in/job/software-engineer-macos-core-product-hyderabad-telangana-india/8158347,Built In Hyderabad
95,Senior Frontend Engineer (React + WebSockets) – Qale,https://builtinhyderabad.in/job/senior-frontend-engineer-react-websockets-qale/8612761,Built In Hyderabad
96,Technical Program Manager (India),https://builtinhyderabad.in/job/technical-program-manager-india/7218092,Built In Hyderabad
97,Senior SDET,https://builtinhyderabad.in/job/senior-sdet/8598007,Built In Hyderabad
98,Senior Cloud Infrastructure Engineer (Working hours aligned to UTC+2),https://builtinhyderabad.in/job/senior-cloud-infrastructure-engineer-working-hours-aligned-utc-2/8592137,Built In Hyderabad
99,Oracle SOA Developer – Contract,https://builtinhyderabad.in/job/oracle-soa-developer-contract/8353410,Built In Hyderabad
100,. Net Developer,https://builtinhyderabad.in/job/net-developer/7704019,Built In Hyderabad
101,Senior Managed Services Data Engineer,https://builtinhyderabad.in/job/senior-managed-services-data-engineer/7068100,Built In Hyderabad
102,"Public Key infrastructure -Certificate,PKCS,Cryptography",https://builtinhyderabad.in/job/public-key-infrastructure-certificate-pkcs-cryptography/7692951,Built In Hyderabad
103,Senior Financial Accountant (USA),https://builtinhyderabad.in/job/senior-financial-accountant-usa/8568119,Built In Hyderabad
104,QA Lead,https://builtinhyderabad.in/job/qa-lead/7499967,Built In Hyderabad
105,Senior API Developer — API Incubation (AI/LLM + Data),https://builtinhyderabad.in/job/senior-api-developer-api-incubation-ai-llm-data/8648101,Built In Hyderabad
106,Analog/Mixed-Signal IC Design Engineer,https://builtinhyderabad.in/job/analogmixed-signal-ic-design-engineer/1902861,Built In Hyderabad
107,Sr. DevOps Engineer,https://builtinhyderabad.in/job/sr-devops-engineer/8316486,Built In Hyderabad
108,Automation Engineer,https://builtinhyderabad.in/job/automation-engineer/8650775,Built In Hyderabad
109,Senior Tax Customer Support Lead,https://builtinhyderabad.in/job/senior-tax-customer-support-lead/7406257,Built In Hyderabad
110,System Admin and IT Executive,https://builtinhyderabad.in/job/system-admin-and-it-executive/7156406,Built In Hyderabad
111,"Collaborative Engineer, GitHub Copilot (Remote - APAC - Talent Pipeline)",https://builtinhyderabad.in/job/collaborative-engineer-github-copilot-remote-apac/7642426,Built In Hyderabad
112,SAP Functional Business Analyst,https://builtinhyderabad.in/job/sap-functional-business-analyst/8525004,Built In Hyderabad
113,"Consumer Experience Lead - Digital, Consumer Data & CRM",https://builtinmumbai.in/job/consumer-experience-lead-digital-consumer-data-crm/8547415,Built In Mumbai
114,Technical Product Owner - PIM (m/f/x),https://builtinmumbai.in/job/technical-product-owner-pim-m-f-x/8412485,Built In Mumbai
115,"Sr. Data Engineer, Analytics Engineering",https://builtinmumbai.in/job/sr-data-engineer-analytics-engineering/8673097,Built In Mumbai
116,Senior Employee Support Analyst,https://builtinmumbai.in/job/senior-employee-support-analyst/7304206,Built In Mumbai
117,Senior Data Scientist,https://builtinmumbai.in/job/senior-data-scientist/6647007,Built In Mumbai
118,"Implementation Consultant, Aladdin Client Technology, Vice President",https://builtinmumbai.in/job/implementation-consultant-aladdin-client-technology-vice-president/8673049,Built In Mumbai
119,"Associate, Quality Engineer",https://builtinmumbai.in/job/associate-quality-engineer/8673041,Built In Mumbai
120,"L&D Multimedia & AI Production, HR, Associate",https://builtinmumbai.in/job/l-d-multimedia-ai-production-hr-associate/8224201,Built In Mumbai
121,Sr Data Scientist,https://builtinmumbai.in/job/sr-data-scientist/8672743,Built In Mumbai
122,Trainee (Technology),https://builtinmumbai.in/job/trainee-technology/8618076,Built In Mumbai
123,Lead Software Engineer,https://builtinmumbai.in/job/lead-software-engineer/8672740,Built In Mumbai
124,Sr Enterprise Account Executive - MRD,https://builtinmumbai.in/job/sr-enterprise-account-executive-mrd/8672328,Built In Mumbai
125,Senior Trade Operations Specialist,https://builtinmumbai.in/job/senior-trade-operations-specialist/8669981,Built In Mumbai
126,Senior/Sales Development Representative,https://builtinmumbai.in/job/sales-development-representative/8329321,Built In Mumbai
127,Java Developer,https://builtinmumbai.in/job/java-developer/8667344,Built In Mumbai
128,Product Support Specialist - OEMS,https://builtinmumbai.in/job/product-support-specialist-oems/8666937,Built In Mumbai
129,"Partner Account Executive (Hybrid, IND)",https://builtinmumbai.in/job/partner-account-executive-hybrid-ind/8584229,Built In Mumbai
130,Senior Software Engineer,https://builtinmumbai.in/job/senior-software-engineer/8432560,Built In Mumbai
131,"Enterprise Sales Manager, India",https://builtinmumbai.in/job/enterprise-sales-manager-india/6344401,Built In Mumbai
132,"Integrated Producer, APAC (Marketing & Creative Campaigns)",https://builtinmumbai.in/job/creative-producer-apac/7836617,Built In Mumbai
133,Senior Data Scientist,https://builtinmumbai.in/job/senior-data-scientist/8508253,Built In Mumbai
134,"Manager, Analytics & Data Science",https://builtinmumbai.in/job/manager-analytics-data-science/8653191,Built In Mumbai
135,Support Engineer,https://builtinmumbai.in/job/support-engineer/8637971,Built In Mumbai
